date,stream_id,home_team,away_team
2019-08-24,42655,江戸川大学,上武大学
2019-08-24,42524,東海大学,早稲田大学
2019-08-24,42656,慶應義塾大学,明星大学
2019-08-24,42525,日本体育大学,神奈川大学
2019-08-24,42526,専修大学,日本大学
2019-08-24,42657,国士舘大学,順天堂大学
2019-08-24,42527,大東文化大学,青山学院大学
2019-08-24,42658,駒澤大学,東洋大学
2019-08-24,42528,筑波大学,明治大学
2019-08-24,42659,中央大学,関東学院大学
2019-08-24,42529,白鴎大学,法政大学
2019-08-24,42660,拓殖大学,山梨学院大学
2019-08-25,42530,東海大学,法政大学
2019-08-25,42661,国士舘大学,慶應義塾大学
2019-08-25,42531,日本体育大学,明治大学
2019-08-25,42662,駒澤大学,江戸川大学
2019-08-25,42532,専修大学,神奈川大学
2019-08-25,42663,東洋大学,関東学院大学
2019-08-25,42664,順天堂大学,山梨学院大学
2019-08-25,42533,大東文化大学,早稲田大学
2019-08-25,42665,中央大学,上武大学
2019-08-25,42534,筑波大学,青山学院大学
2019-08-25,42666,拓殖大学,明星大学
2019-08-25,42535,白鴎大学,日本大学
2019-09-01,42776,帝京平成大学,國學院大學
2019-09-01,42775,玉川大学,桐蔭横浜大学
2019-09-01,42777,明治学院大学,東京経済大学
2019-09-01,42778,東京成徳大学,国際武道大学
2019-09-01,42780,埼玉工業大学,埼玉大学
2019-09-01,42779,立教大学,西武文理大学
2019-09-07,42536,日本大学,法政大学
2019-09-07,42537,専修大学,日本体育大学
2019-09-07,42667,東洋大学,上武大学
2019-09-07,42668,順天堂大学,明星大学
2019-09-07,42781,玉川大学,國學院大學
2019-09-07,42782,帝京平成大学,桐蔭横浜大学
2019-09-07,42774,青山学院大学,明治大学
2019-09-07,42783,明治学院大学,国際武道大学
2019-09-07,42784,東京成徳大学,東京経済大学
2019-09-07,42670,国士舘大学,関東学院大学
2019-09-07,42669,駒澤大学,山梨学院大学
2019-09-07,42538,大東文化大学,東海大学
2019-09-07,42786,埼玉工業大学,西武文理大学
2019-09-07,42671,中央大学,慶應義塾大学
2019-09-07,42672,拓殖大学,江戸川大学
2019-09-07,42785,立教大学,埼玉大学
2019-09-07,42539,筑波大学,早稲田大学
2019-09-07,42540,白鴎大学,神奈川大学
2019-09-08,42541,日本体育大学,法政大学
2019-09-08,42542,東海大学,明治大学
2019-09-08,42787,国際武道大学,埼玉大学
2019-09-08,42788,東京経済大学,西武文理大学
2019-09-08,42674,明星大学,関東学院大学
2019-09-08,42673,上武大学,山梨学院大学
2019-09-08,42543,専修大学,早稲田大学
2019-09-08,42789,明治学院大学,帝京平成大学
2019-09-08,42675,慶應義塾大学,東洋大学
2019-09-08,42790,東京成徳大学,玉川大学
2019-09-08,42676,江戸川大学,順天堂大学
2019-09-08,42544,大東文化大学,神奈川大学
2019-09-08,42791,立教大学,桐蔭横浜大学
2019-09-08,42678,拓殖大学,国士舘大学
2019-09-08,42792,埼玉工業大学,國學院大學
2019-09-08,42677,中央大学,駒澤大学
2019-09-08,42545,筑波大学,日本大学
2019-09-08,42546,白鴎大学,青山学院大学
